OID,State,Area_m,Area_km,Area_Proportion,Pixel_count,Pixel_area,Minimum,Maximum,Mean,St_dev
81,C,683551.4035,0.683551404,25.30956642,1654,661600,-325.1299438,1244.771851,325.830089,291.3320913
82,E,11346.79151,0.011346792,0.42013283,28,11200,502.4012756,1166.465576,872.4426978,211.334058
83,E,6345.525634,0.006345526,0.234953086,16,6400,425.2109985,1133.951172,849.9352455,187.3719963
84,E,806.4560923,0.000806456,0.029860302,2,800,1102.546387,1172.98291,1137.764648,35.21826172
85,E,2115.192567,0.002115193,0.078318349,3,1200,1158.495483,1261.579224,1207.30603,42.26065747
86,E,3836.88029,0.00383688,0.14206652,9,3600,1093.140625,1192.131592,1146.285672,36.67612238
87,E,1621.410241,0.00162141,0.060035257,4,1600,1090.835815,1224.855591,1177.637115,53.68307862
88,E,3128.722895,0.003128723,0.115845893,8,3200,963.7396851,1103.613892,1031.028053,49.23670142
89,E,798.0664995,0.000798066,0.02954965,2,800,969.5665283,1066.911133,1018.238831,48.67230225
90,E,2624.227306,0.002624227,0.097166134,5,2000,1080.071289,1219.688721,1136.604077,46.86369604
91,E,6698.604248,0.006698604,0.248026354,19,7600,994.4573364,1175.53833,1100.273865,40.03884597
92,D,25460.94809,0.025460948,0.942731667,58,23200,334.7363892,1176.719971,724.0778493,181.4549165
93,E,633.6449487,0.000633645,0.023461703,2,800,1134.204712,1157.664917,1145.934814,11.73010254
94,E,910.7412492,0.000910741,0.033721619,4,1600,1173.332886,1305.984131,1254.116364,49.15298932
95,E,7990.298714,0.007990299,0.295853395,20,8000,1047.25769,1349.996216,1210.045972,93.05428576
96,E,545.6288916,0.000545629,0.020202772,1,400,506.0820618,506.0820618,506.0820618,0
97,E,659.2003749,0.0006592,0.024407917,3,1200,832.8609009,1207.496948,1066.468119,166.3652821
98,E,1040.267633,0.001040268,0.03851756,2,800,1215.762695,1305.158569,1260.460632,44.69793701
99,E,4190.689872,0.00419069,0.155166892,11,4400,901.5025635,1067.766724,972.8839666,52.1540874
100,E,910.1806885,0.000910181,0.033700884,2,800,1048.098877,1058.518066,1053.308472,5.209594727
101,E,486.746661,0.000486747,0.018022574,2,800,1018.949707,1149.266846,1084.108276,65.15856934
102,E,3510.146931,0.003510147,0.129968716,13,5200,1001.068604,1193.192261,1142.485417,49.86645189
103,E,670.2323748,0.000670232,0.024816395,1,400,1107.914429,1107.914429,1107.914429,0
104,E,928.1727929,0.000928173,0.034367066,1,400,1147.314453,1147.314453,1147.314453,0
105,E,4656.580038,0.00465658,0.172417202,12,4800,596.9368286,1103.469238,889.4247742,160.3344465
106,E,2339.42669,0.002339427,0.086620966,7,2800,436.3745422,750.2944946,614.0830296,104.4098201
107,E,2305.748249,0.002305748,0.085373948,5,2000,1085.227295,1243.500854,1178.03418,52.6117274
108,E,443.9281914,0.000443928,0.016437133,2,800,762.8615112,781.2627563,772.0621338,9.200622559
109,B,14019.57207,0.014019572,0.519096715,36,14400,8.196412086,782.961853,288.1513469,186.8933798
110,B,7031.03855,0.007031039,0.260335284,18,7200,26.78399658,756.7698364,244.3016862,204.2904732
111,E,12166.55025,0.01216655,0.45048566,30,12000,-30.04899979,490.633606,96.07336159,122.5873698
112,E,684.4458694,0.000684446,0.02534269,1,400,996.2525635,996.2525635,996.2525635,0
113,E,8321.573198,0.008321573,0.308119336,22,8800,-24.94924164,573.3649902,115.5975474,127.5060219
114,E,483.7704333,0.00048377,0.017912346,1,400,948.7835083,948.7835083,948.7835083,0
115,E,6951.613793,0.006951614,0.257394448,16,6400,788.4517212,1163.245361,992.8115349,120.4580281
116,E,1698.982952,0.001698983,0.062907519,5,2000,726.8675537,834.0914307,756.039917,40.73043052
117,D,105456.4661,0.105456466,3.904691607,154,61600,-46.27923203,814.7545166,281.2020593,168.6913279
