State,Area_km,RdNBR_mean,RdNBR_SD,Beaver_Dam,Mean_NDWI_Pre,SD_NDWI_Pre,Mean_NDWI_Post,SD_NDWI_Post,Water_Proportion,dNDVI_mean,dNVDI_SD,NDWI_veg_pre_mean,NDWI_veg_pre_SD
E,0.004372362,1207.310059,36.6761017,N,-0.714383,0.0509476,-0.542278,0.0375104,0,-0.51477023,0.01425556,0.185502934,0.068776054
E,0.007930364,1146.290039,53.6831017,N,-0.699657,0.0442425,-0.512307,0.0344427,0,-0.512613184,0.022973946,0.170426608,0.041954919
E,0.003351142,1177.640015,49.2366982,N,-0.713684,0.0339133,-0.512564,0.0291114,0,-0.524689347,0.071559823,0.19003976,0.043003192
E,0.006466927,1031.030029,48.6722984,N,-0.723433,0.0425484,-0.531631,0.0351959,0,-0.426021248,0.064371058,0.176187823,0.056165165
E,0.001649538,1018.23999,46.8637009,N,-0.658065,0.0574091,-0.506389,0.0426177,0,-0.400087968,0.050750658,0.120110892,0.033895351
E,0.005423832,1136.599976,40.0387993,N,-0.703601,0.0519437,-0.498121,0.0436119,0,-0.5200131,0.037006059,0.138808566,0.034657726
E,0.013844411,1100.27002,181.4550018,N,-0.723849,0.0582933,-0.50709,0.042413,0,-0.471009217,0.051621271,0.155448146,0.070669122
D,0.052622529,724.0780029,11.7300997,Y,-0.727919,0.0725344,-0.56083,0.0509307,0,-0.233437921,0.124479425,0.17538945,0.06118446
E,0.001309758,1145.930054,49.1529999,N,-0.654788,0.0391927,-0.535304,0.0451872,17.76191078,-0.476495817,0.028497502,0.188505501,0.035829097
E,0.001882521,1254.119995,93.0542984,N,-0.706221,0.0164085,-0.541799,0.0188235,0,-0.506032743,0.041811377,0.212994434,0.017864021
E,0.016519584,1210.050049,0,N,-0.723393,0.0411781,-0.540923,0.0351333,0,-0.527902238,0.068606456,0.218775949,0.049926345
E,0.001127954,506.0820007,166.3650055,N,-0.698215,0.0372791,-0.603177,0.0452999,0,-0.141231239,0,0.224239036,0
E,0.001362728,1066.469971,44.6978989,N,-0.662074,0.0345557,-0.517586,0.0284638,0,-0.437994917,0.046364874,0.146750115,0.037067149
E,0.002150335,1260.459961,52.1540985,N,-0.656582,0.0306721,-0.503832,0.0250463,0,-0.519478977,0.02393645,0.134268869,0.034532722
E,0.00866094,972.8839722,5.20959,N,-0.702233,0.0423824,-0.536967,0.0490625,0,-0.40533554,0.047908742,0.163904063,0.068226215
E,0.001881126,1053.310059,65.1585999,N,-0.694097,0.0493911,-0.50619,0.0396874,0,-0.485557273,0.01442574,0.108509805,0.034911994
E,0.001006015,1084.109985,49.8665009,N,-0.647036,0.044578,-0.480419,0.0331512,0,-0.404431447,0.00015901,0.040396642,0.011939328
E,0.007254844,1142.48999,0,N,-0.74461,0.0456092,-0.520316,0.0408557,0,-0.504547156,0.049824901,0.176083093,0.04463757
E,0.0013853,1107.910034,0,N,-0.650037,0.0457973,-0.492395,0.0431387,0,-0.490933836,0,0.076007575,0
E,0.001918377,1147.310059,160.3339996,N,-0.713083,0.0417577,-0.519065,0.0400475,0,-0.468015909,0,0.150239751,0
E,0.009627468,889.4249878,104.4100037,N,-0.770259,0.0416676,-0.599659,0.0408498,0,-0.414440093,0.066058012,0.29600034,0.039302966
E,0.004836452,614.0830078,52.6116982,N,-0.77197,0.0233458,-0.625075,0.0250019,0,-0.306911566,0.060579193,0.342043327,0.052629798
E,0.00476711,1178.030029,9.2006197,N,-0.687938,0.0308457,-0.528029,0.0259523,0,-0.516954887,0.022969731,0.142424875,0.015479105
E,0.000917778,772.0620117,186.8930054,N,-0.580419,0.0405639,-0.494322,0.0449246,0,-0.280130953,0.004993021,0.072538907,0.018616086
B,0.028981048,288.151001,204.2899933,Y,-0.720446,0.0727679,-0.669719,0.0561191,0,-0.082973477,0.095002455,0.229950451,0.062185635
B,0.014515775,244.302002,122.586998,Y,-0.714383,0.0537128,-0.616589,0.0650511,54.78385412,-0.063252082,0.084844819,0.239697976,0.059781998
E,0.025116295,96.0734024,0,N,-0.762576,0.0318811,-0.669626,0.0561358,10.91008988,0.014252724,0.053788033,0.260627097,0.031233987
E,0.001412658,996.2529907,127.5059967,N,-0.768122,0.0647628,-0.337808,0.0553051,0,-0.379310727,0,0.216391504,0
E,0.017176891,115.5979996,40.7304001,N,-0.773098,0.0287249,-0.664966,0.0504205,0,-0.01434191,0.054825013,0.255553258,0.032550876
E,0.003506718,756.039978,168.6909943,N,-0.801507,0.0485481,-0.496196,0.0585916,0,-0.365264487,0.048379099,0.317803717,0.040183574
D,0.210859375,281.2019958,168.6909943,N,-0.702986,0.0582766,-0.597414,0.0776401,0,-0.060267973,0.085246998,0.235363344,0.074283923
