OID,State,Area_m,Area_km,Area_Proportion,Pixel_count,Pixel_area,RdNBR_min,RdNBR_max,RdNBR_mean,RdNBR_SD,NDWI_min,NDWI_max,NDWI_mean,NDWI_SD
88,E,3128.722895,0.003128723,0.115845893,8,3200,963.7396851,1103.613892,1031.028053,49.23670142,-0.7911672,-0.557575762,-0.725856416,0.042227399
89,E,798.0664995,0.000798066,0.02954965,2,800,969.5665283,1066.911133,1018.238831,48.67230225,-0.732449293,-0.472659171,-0.657856151,0.061090866
90,E,2624.227306,0.002624227,0.097166134,5,2000,1080.071289,1219.688721,1136.604077,46.86369604,-0.788079441,-0.507716656,-0.701597049,0.05083541
91,E,6698.604248,0.006698604,0.248026354,19,7600,994.4573364,1175.53833,1100.273865,40.03884597,-0.818181813,-0.399033099,-0.723865003,0.058619326
92,D,25460.94809,0.025460948,0.942731667,58,23200,334.7363892,1176.719971,724.0778493,181.4549165,-0.850000024,-0.396943718,-0.728198757,0.072100963
93,E,633.6449487,0.000633645,0.023461703,2,800,1134.204712,1157.664917,1145.934814,11.73010254,-0.728731155,-0.558248639,-0.656102948,0.040283005
94,E,910.7412492,0.000910741,0.033721619,4,1600,1173.332886,1305.984131,1254.116364,49.15298932,-0.766390383,-0.686365724,-0.707656441,0.024668569
95,E,7990.298714,0.007990299,0.295853395,20,8000,1047.25769,1349.996216,1210.045972,93.05428576,-0.807669282,-0.564598978,-0.723031771,0.044708981
96,E,545.6288916,0.000545629,0.020202772,1,400,506.0820618,506.0820618,506.0820618,0,-0.773758888,-0.636443675,-0.699729183,0.038392198
97,E,659.2003749,0.0006592,0.024407917,3,1200,832.8609009,1207.496948,1066.468119,166.3652821,-0.72942698,-0.591891885,-0.66410057,0.03678037
98,E,1040.267633,0.001040268,0.03851756,2,800,1215.762695,1305.158569,1260.460632,44.69793701,-0.719171941,-0.592575848,-0.65917528,0.03349789
99,E,4190.689872,0.00419069,0.155166892,11,4400,901.5025635,1067.766724,972.8839666,52.1540874,-0.753587663,-0.510638297,-0.702221534,0.04158577
100,E,910.1806885,0.000910181,0.033700884,2,800,1048.098877,1058.518066,1053.308472,5.209594727,-0.767481029,-0.528943896,-0.696995213,0.045504768
101,E,486.746661,0.000486747,0.018022574,2,800,1018.949707,1149.266846,1084.108276,65.15856934,-0.707740903,-0.54713577,-0.647004247,0.044515351
102,E,3510.146931,0.003510147,0.129968716,13,5200,1001.068604,1193.192261,1142.485417,49.86645189,-0.81883347,-0.581030905,-0.747102214,0.043412953
103,E,670.2323748,0.000670232,0.024816395,1,400,1107.914429,1107.914429,1107.914429,0,-0.717948735,-0.529601276,-0.654755959,0.04700986
104,E,928.1727929,0.000928173,0.034367066,1,400,1147.314453,1147.314453,1147.314453,0,-0.79200685,-0.596583962,-0.713297434,0.041623402
105,E,4656.580038,0.00465658,0.172417202,12,4800,596.9368286,1103.469238,889.4247742,160.3344465,-0.859170318,-0.629191339,-0.77057885,0.044470159
106,E,2339.42669,0.002339427,0.086620966,7,2800,436.3745422,750.2944946,614.0830296,104.4098201,-0.842413604,-0.706047237,-0.772387473,0.027437731
107,E,2305.748249,0.002305748,0.085373948,5,2000,1085.227295,1243.500854,1178.03418,52.6117274,-0.775897086,-0.62009418,-0.692259485,0.033809989
108,E,443.9281914,0.000443928,0.016437133,2,800,762.8615112,781.2627563,772.0621338,9.200622559,-0.67065388,-0.478064507,-0.581386454,0.042965578
109,B,14019.57207,0.014019572,0.519096715,36,14400,8.196412086,782.961853,288.1513469,186.8933798,-0.847629189,-0.557617962,-0.721124264,0.075379358
110,B,7031.03855,0.007031039,0.260335284,18,7200,26.78399658,756.7698364,244.3016862,204.2904732,-0.830196261,-0.555994093,-0.714402704,0.053863608
111,E,12166.55025,0.01216655,0.45048566,30,12000,-30.04899979,490.633606,96.07336159,122.5873698,-0.839497566,-0.565424263,-0.76275193,0.031849527
112,E,684.4458694,0.000684446,0.02534269,1,400,996.2525635,996.2525635,996.2525635,0,-0.834920645,-0.545289218,-0.7675329,0.064939912
113,E,8321.573198,0.008321573,0.308119336,22,8800,-24.94924164,573.3649902,115.5975474,127.5060219,-0.826693237,-0.609598517,-0.772946016,0.028407383
114,E,483.7704333,0.00048377,0.017912346,1,400,948.7835083,948.7835083,948.7835083,0,-0.768511295,-0.5155949,-0.69744493,0.061927389
115,E,6951.613793,0.006951614,0.257394448,16,6400,788.4517212,1163.245361,992.8115349,120.4580281,-0.826898336,-0.504649222,-0.747179494,0.044366164
116,E,1698.982952,0.001698983,0.062907519,5,2000,726.8675537,834.0914307,756.039917,40.73043052,-0.860699654,-0.640317559,-0.801165322,0.047652397
117,D,105456.4661,0.105456466,3.904691607,154,61600,-46.27923203,814.7545166,281.2020593,168.6913279,-0.834202886,-0.443809509,-0.703169952,0.058069541
